loan_status,loan_amnt,int_rate,installment,fico_range_low,total_pymnt,total_rec_prncp,last_pymnt_amnt,last_fico_range_high,last_fico_range_low
0,12000,0.05,361.38,795,12333.41143,12000,10533.6,819,815
0,17000,0.14,585.08,670,19699.40032,17000,10950.57,684,680
0,4500,0.13,151.17,690,4577.5,4500,4583.9,744,740
0,18375,0.13,623.48,705,22088.21811,18375,6528.76,714,710
0,40000,0.13,1357.22,760,47453.35108,40000,19011.69,714,710
0,35000,0.2,1300.55,695,46035.59971,35000,10998.49,749,745
0,6000,0.13,203.59,710,7173.092389,6000,2123.81,809,805
0,15000,0.05,451.73,740,15944.74681,15000,8274.21,749,745
0,3000,0.09,94.83,720,3232.055992,3000,1546.96,754,750
0,3250,0.13,110.28,660,3789.187876,3250,110.09,789,785
0,5000,0.09,158.98,730,5714.054451,5000,158.78,689,685
0,8400,0.13,285.02,675,10232.52601,8400,1124.48,639,635
0,6000,0.14,205.04,660,6382.926599,6000,156.98,669,665
0,8800,0.14,302.87,660,10572.06841,8800,4225.97,684,680
1,3000,0.16,104.87,660,1589.02,1004.63,104.87,499,0
0,10000,0.09,316.1,730,10962.47908,10000,35.67,729,725
0,15000,0.14,512.6,690,16955.51575,15000,577.24,669,665
0,2600,0.09,82.67,770,2662.590238,2600,2492.06,704,700
0,7000,0.11,229.14,760,7731.251043,7000,3219.26,814,810
0,30000,0.11,982.02,670,31054.66496,30000,29044.83,699,695
0,14000,0.14,481.83,675,16089.53802,14000,9118.59,764,760
0,10000,0.17,356.48,675,12698.96636,10000,2736.41,714,710
0,20000,0.14,688.33,700,22100.26341,20000,16625.82,624,620
0,7000,0.13,235.16,690,8430.924375,7000,235.14,694,690
1,3000,0.14,102.52,670,1778.75,345.69,102.52,629,625
0,5000,0.14,170.87,660,5782.78733,5000,3227.51,679,675
0,3000,0.11,98.92,695,3274.096087,3000,2387.65,734,730
0,10000,0.1,324.98,685,11681.00382,10000,4.74,714,710
0,12800,0.09,406.98,675,13463.53143,12800,10844.44,689,685
0,7000,0.08,218.04,785,7580.667986,7000,4117.12,774,770
0,6400,0.08,200.53,700,6950.935784,6400,3948.67,739,735
0,8000,0.08,249.19,700,8867.961998,8000,174.82,789,785
0,1000,0.13,33.94,705,1090.243921,1000,820.22,699,695
1,23800,0.14,819.11,665,21456.29,10619.63,300,559,555
0,11000,0.09,347.71,740,12055.73461,11000,6845.34,729,725
0,9600,0.13,322.5,690,11448.18953,9600,3076.83,794,790
1,18000,0.09,568.97,680,7474.62,4545.71,568.97,604,600
0,2000,0.19,73.31,660,2064.49,2000,1995.4,664,660
1,14300,0.14,492.16,740,5517.26,2666.57,492.16,524,520
0,6000,0.11,197.83,680,6670.76008,6000,4106.63,684,680
0,18000,0.1,584.96,715,20265.56494,18000,10342.22,694,690
0,10000,0.14,341.73,670,12297.74069,10000,680.34,664,660
1,8400,0.14,289.1,680,6924.88,5188.6,289.1,529,525
0,16000,0.11,523.75,730,18809.26869,16000,1068.81,779,775
0,9000,0.14,309.75,700,10757.4342,9000,4576.92,759,755
0,4000,0.11,130.94,660,4049.64,4000,4054.52,709,705
0,9600,0.05,289.11,745,10301.8971,9600,3947.15,799,795
1,4500,0.11,148.38,670,2597.94,1689.77,148.38,509,505
1,5000,0.09,158.05,735,2217.73,1394.02,158.05,609,605
0,12000,0.13,403.12,745,12530.61822,12000,11396.63,769,765
0,5000,0.13,167.97,700,6001.028909,5000,1304.98,704,700
0,26725,0.24,1048.36,670,30307.90192,26725,24088.98,689,685
0,10000,0.11,329.72,660,11255.16755,10000,6322.14,744,740
0,3600,0.13,120.94,705,4218.150502,3600,1804.47,764,760
0,12000,0.26,481.51,675,16187.26233,12000,5281.87,684,680
0,9000,0.11,296.75,680,10194.99751,9000,522.38,679,675
